"receipt_no","sale_time"
"#61953-953","20:40"
"#68991-310","10:10"
"#61953-909","10:10"
"#67962-316","11:50"
"#00716-015","12:55"
"#73804-488","13:10"
"#86559-019","14:05"
"#41546-260","15:24"
"#80406-166","16:40"
"#42915-174","16:55"
"#41353-641","18:25"
"#40651-123","19:13"
"#50175-908","19:15"
"#78477-100","10:15"
"#57091-643","11:00"
"#81997-488","13:08"
"#66718-589","13:50"
"#75969-240","14:20"
"#13699-236","15:15"
"#16330-640","15:40"
"#24592-117","15:55"
"#44129-523","16:55"
"#22081-434","17:30"
"#95504-214","18:30"
"#00791-914","20:00"
"#53179-498","20:05"
"#41776-967","11:30"
"#32290-093","13:44"
"#98897-730","14:49"
"#21207-217","15:03"
"#72481-392","17:00"
"#10570-479","17:15"
"#93313-808","18:07"
"#29527-271","18:35"
"#52025-203","19:55"
"#38600-716","20:15"
"#43727-495","21:05"
"#98343-253","10:25"
"#01912-176","11:10"
"#72866-100","12:25"
"#53589-012","13:00"
"#99986-021","13:05"
"#04716-429","14:05"
"#89337-908","14:10"
"#38678-119","15:00"
"#22008-526","15:50"
"#56676-502","17:28"
"#70306-972","18:42"
"#63952-807","20:40"
"#03473-432","10:40"
"#20373-822","10:53"
"#99568-359","13:20"
"#26901-049","15:30"
"#70658-877","15:30"
"#37695-284","15:40"
"#56687-933","15:55"
"#30642-965","16:05"
"#04250-674","19:30"
"#29294-380","19:50"
"#86384-681","20:00"
"#43698-924","10:30"
"#68834-184","10:30"
"#43368-095","10:30"
"#82438-776","11:40"
"#35727-126","11:40"
"#81853-045","12:00"
"#76270-153","13:00"
"#15413-104","15:15"
"#64272-825","15:16"
"#93934-145","15:45"
"#69871-284","16:05"
"#24029-170","17:10"
"#63926-324","17:45"
"#15257-286","18:00"
"#01947-801","19:10"
"#78992-785","10:40"
"#85899-025","13:35"
"#94275-498","14:15"
"#07094-002","14:34"
"#09276-317","15:40"
"#63616-881","15:54"
"#21032-694","16:30"
"#28602-737","18:35"
"#80014-814","19:18"
"#32851-237","20:30"
"#50236-392","10:00"
"#79862-104","10:56"
"#08174-011","12:40"
"#40544-382","12:58"
"#50324-217","14:20"
"#93910-334","14:25"
"#50125-196","14:44"
"#22556-584","14:54"
"#85105-072","15:05"
"#69264-160","15:40"
"#64828-041","16:12"
"#20688-116","16:18"
"#14937-763","19:00"
"#72844-827","20:50"
"#21101-515","13:50"
"#27027-789","13:55"
"#41136-280","14:10"
"#10054-901","14:15"
"#49723-429","15:20"
"#38827-686","18:10"
"#42747-786","18:15"
"#94739-176","18:25"
"#12586-869","18:30"
"#84712-210","12:50"
"#01740-071","14:20"
"#17785-786","15:25"
"#85908-745","15:25"
"#69693-640","15:35"
"#55920-923","16:12"
"#80792-112","17:55"
"#95559-826","18:05"
"#76706-206","18:08"
"#66086-178","10:35"
"#04781-427","11:23"
"#51360-055","11:30"
"#10537-432","14:07"
"#46731-415","14:08"
"#42123-023","14:46"
"#25984-334","15:15"
"#03382-300","16:30"
"#76768-947","18:26"
"#61183-783","18:40"
"#60067-467","19:16"
"#44094-784","17:14"
"#13328-467","17:28"
"#86686-632","18:20"
"#44970-960","19:30"
"#13125-021","20:43"
"#10332-303","13:30"
"#16148-007","14:24"
"#22707-769","16:20"
"#58110-350","16:28"
"#20399-172","17:15"
"#85358-966","18:08"
"#51249-544","18:50"
"#41134-822","19:15"
"#86711-511","20:05"
"#89138-989","20:10"
"#78536-653","10:20"
"#86688-153","11:40"
"#04845-382","13:29"
"#20671-481","15:31"
"#23621-298","16:20"
"#30154-475","17:55"
"#47098-696","18:45"
"#84384-708","19:13"
"#04567-637","19:38"
"#25635-247","20:18"
"#15257-654","10:30"
"#23140-578","11:38"
"#36255-660","13:40"
"#87353-967","14:35"
"#91448-754","14:50"
"#38235-908","15:00"
"#07391-772","16:14"
"#60324-054","17:53"
"#47091-524","18:53"
"#94059-991","18:55"
"#27113-171","19:05"
"#57409-822","19:40"
"#21365-298","19:40"
"#25024-787","20:13"
"#57716-963","10:55"
"#53206-996","13:00"
"#44802-566","13:40"
"#07910-961","14:45"
"#27995-161","15:05"
"#38314-979","15:56"
"#99568-423","19:35"
"#30463-328","20:43"
"#75918-402","12:00"
"#52576-432","12:58"
"#33000-276","13:30"
"#39495-046","14:00"
"#12865-273","14:30"
"#86029-218","15:15"
"#71206-311","15:40"
"#44271-912","16:12"
"#44474-375","16:55"
"#24044-327","17:13"
"#16282-617","17:20"
"#49459-946","18:22"
"#03616-589","18:52"
"#07130-706","18:55"
"#08043-285","19:05"
"#32290-679","20:20"
"#16799-824","20:54"
"#67510-042","20:54"
"#29579-245","10:20"
"#42166-698","11:05"
"#65174-938","12:55"
"#32838-585","15:12"
"#39345-451","15:55"
"#69565-746","16:00"
"#16115-213","18:27"
"#18395-119","10:10"
"#97717-019","10:30"
"#80977-268","12:25"
"#60994-519","16:35"
"#59870-922","16:45"
"#89160-479","17:02"
"#02389-236","19:40"
"#65146-755","14:28"
"#98974-717","14:55"
"#86521-057","16:40"
"#27077-139","20:10"
"#94651-050","20:50"
"#56537-640","20:53"
"#75284-201","13:45"
"#52938-748","14:00"
"#19232-773","14:28"
"#85190-077","14:35"
"#02762-401","14:36"
"#74076-873","17:20"
"#55947-334","17:20"
"#36212-792","20:05"
"#00087-993","11:30"
"#88732-687","13:25"
"#37301-119","14:00"
"#67503-173","15:00"
"#57772-615","16:30"
"#83996-173","16:36"
"#19163-343","17:10"
"#03566-673","17:58"
"#20307-297","17:58"
"#37536-673","18:38"
"#28903-539","19:30"
"#16699-611","20:23"
"#02588-100","10:45"
"#64113-814","13:28"
"#55893-370","14:42"
"#87507-501","14:25"
"#28484-168","15:40"
"#80595-927","17:58"
"#85688-831","20:23"
"#92501-299","16:30"
"#30240-430","12:38"
"#78345-887","13:18"
"#96672-497","13:20"
"#17343-289","13:24"
"#45663-218","14:48"
"#47068-491","15:00"
"#51852-309","15:25"
"#54477-475","17:13"
"#13589-963","17:15"
"#13451-800","17:40"
"#69078-974","18:00"
"#90001-545","18:00"
"#24330-521","19:00"
"#26783-813","19:00"
"#16736-816","19:33"
"#94828-058","19:33"
"#10106-514","19:42"
"#30396-660","20:25"
"#73829-373","21:00"
"#67541-083","10:30"
"#87977-940","11:41"
"#20111-630","11:18"
"#11987-001","12:12"
"#80403-297","13:55"
"#13521-231","14:00"
"#92560-879","15:05"
"#15238-661","15:35"
"#01822-588","16:10"
"#59281-781","15:40"
"#07308-753","18:00"
"#43032-130","18:30"
"#43032-130-2","20:20"
"#65149-890","10:17"
"#05357-731","11:58"
"#46798-180","14:39"
"#19319-797","14:39"
"#57504-822","15:24"
"#17802-382","18:20"
"#87800-483","19:25"
"#07161-968","19:30"
"#37583-603","19:35"
"#65320-523","20:40"
"#32273-340","13:00"
"#33587-517","14:01"
"#67075-510","14:15"
"#26644-927","15:17"
"#55615-254","15:30"
"#10286-240","17:00"
"#74630-579","18:05"
"#22503-915","19:05"
"#01470-245","19:24"
"#64314-920","20:47"
"#53481-912","10:00"
"#84141-690","12:17"
"#76329-684","12:00"
"#04310-599","12:20"
"#57505-416","15:27"
"#35715-492","16:26"
"#23821-557","16:43"
"#03332-075","19:00"
"#87591-071","19:23"
"#28607-354","11:05"
"#34964-390","13:10"
"#10760-627","16:04"
"#99943-667","16:40"
"#33861-302","17:55"
"#37738-687","19:27"
"#23417-825","19:40"
"#20996-894","12:07"
"#07158-184","13:30"
"#36090-821","13:49"
"#73183-353","14:00"
"#20833-203","14:15"
"#58076-847","14:53"
"#75707-765","15:00"
"#13251-860","16:00"
"#85275-256","17:00"
"#44503-993","17:35"
"#43881-677","17:50"
"#49518-989","18:30"
"#37119-026","18:20"
"#21224-417","18:47"
"#93477-212","20:10"
"#62420-351","20:20"
"#85684-798","20:40"
"#21588-706","12:00"
"#75562-670","12:43"
"#89436-683","13:55"
"#52184-755","14:00"
"#32187-577","14:30"
"#10121-984","14:53"
"#17164-334","15:00"
"#85490-987","16:00"
"#53340-490","16:30"
"#01093-092","17:04"
"#00486-876","17:25"
"#29981-598","18:54"
"#70540-884","19:50"
"#75382-292","20:05"
"#42724-912","21:15"
"#07283-039","21:22"
"#13287-459","10:05"
"#48451-377","10:20"
"#04029-916","12:00"
"#73045-038","12:20"
"#92260-670","12:37"
"#30008-650","14:00"
"#55546-435","14:00"
"#30417-024","14:38"
"#78004-511","15:30"
"#21870-406","16:33"
"#97493-061","17:00"
"#59677-709","17:30"
"#89275-804","18:20"
"#46388-523","18:46"
"#82221-206","18:58"
"#48834-922","19:37"
"#48188-610","19:48"
"#33428-406","20:40"
"#05365-515","21:05"
"#10700-735","10:15"
"#59919-962","11:48"
"#83605-194","13:36"
"#59245-263","15:05"
"#53682-539","15:24"
"#92567-469","15:40"
"#35925-189","16:15"
"#97298-744","16:50"
"#23316-884","18:47"
"#55145-291","19:00"
"#09989-552","12:00"
"#17901-433","20:19"
"#73743-384","12:35"
"#67116-729","13:40"
"#12735-934","14:55"
"#76540-895","15:15"
"#57454-040","16:00"
"#32071-836","16:30"
"#92906-861","17:00"
"#79225-281","17:00"
"#03682-214","18:32"
"#37996-713","19:05"
"#97555-601","19:10"
"#85277-263","20:10"
"#57356-615","19:30"
"#53336-475","20:30"
"#56019-125","10:10"
"#72210-759","13:40"
"#83956-294","16:30"
"#14520-335","18:32"
"#51218-685","19:25"
"#22904-061","20:05"
"#42787-026","10:10"
"#70184-056","10:25"
"#10343-007","11:05"
"#26047-631","11:50"
"#00872-403","11:55"
"#09461-375","14:45"
"#17796-721","14:52"
"#17258-504","14:55"
"#77201-583","16:06"
"#04631-307","17:45"
"#38168-810","18:00"
"#87045-510","19:48"
"#22367-653","11:05"
"#22401-715","11:45"
"#26141-614","13:00"
"#03025-172","13:40"
"#54666-096","13:50"
"#94253-317","15:04"
"#55098-798","15:20"
"#97537-222","15:40"
"#13320-815","16:12"
"#63735-887","16:38"
"#33732-405","17:50"
"#73123-303","18:41"
"#26592-212","19:51"
"#87635-682","20:00"
"#91877-561","12:10"
"#69568-880","13:00"
"#10676-467","15:45"
"#30299-350","15:46"
"#63102-451","16:03"
"#27914-953","17:00"
"#09280-032","17:10"
"#98459-382","17:23"
"#98725-385","17:59"
"#75817-077","18:40"
"#68590-976","11:05"
"#51179-668","11:13"
"#44797-969","11:20"
"#83130-973","11:45"
"#62180-077","13:05"
"#77652-358","13:52"
"#27229-739","14:05"
"#07767-876","18:20"
"#41747-959","19:10"
"#26184-490","19:45"
"#52590-184","20:13"
"#71641-414","11:30"
"#35311-084","12:19"
"#95848-127","13:25"
"#62735-990","15:18"
"#47360-108","17:52"
"#72847-549","19:25"
"#45280-454","19:30"
"#53174-644","20:21"
"#68712-753","20:42"
"#25590-127","10:20"
"#53058-324","10:48"
"#15269-211","11:10"
"#94551-804","11:12"
"#14409-918","14:10"
"#37786-997","14:30"
"#48672-037","17:50"
"#62665-566","18:30"
"#98403-267","19:30"
"#20660-895","20:38"
"#45266-350","10:30"
"#90383-820","11:27"
"#06352-568","11:33"
"#80376-843","11:40"
"#93876-336","13:05"
"#30065-714","13:18"
"#68431-273","13:47"
"#55721-016","17:00"
"#74231-300","17:05"
"#71664-601","17:41"
"#45909-812","19:05"
"#13703-667","19:38"
"#65063-137","12:22"
"#79465-663","10:30"
"#29193-656","13:47"
"#54648-786","14:03"
"#39042-262","14:30"
"#58026-263","14:45"
"#58195-836","15:25"
"#96093-199","15:30"
"#31093-907","16:08"
"#81073-613","16:23"
"#65440-558","18:00"
"#97521-595","18:20"
"#99322-178","19:06"
"#47284-973","19:55"
"#25145-675","10:00"
"#80088-121","10:10"
"#99258-870","11:00"
"#36700-169","11:05"
"#55623-287","12:38"
"#30629-307","12:39"
"#71618-960","12:40"
"#54856-365","14:20"
"#67769-698","14:20"
"#51145-202","14:40"
"#73938-605","14:45"
"#05164-361","16:20"
"#47327-207","16:35"
"#25382-890","17:10"
"#49575-249","17:15"
"#27407-785","17:30"
"#25959-887","18:00"
"#84196-507","18:25"
"#82677-307","18:25"
"#06499-548","18:54"
"#19110-014","19:29"
"#65871-141","10:45"
"#29614-867","12:26"
"#94922-951","12:35"
"#09408-641","12:56"
"#22444-528","13:30"
"#69395-340","14:00"
"#48012-359","14:10"
"#57173-842","15:10"
"#12406-705","15:00"
"#55678-012","15:50"
"#24871-209","15:50"
"#95077-431","16:00"
"#82707-998","17:50"
"#74138-718","18:10"
"#47407-398","18:20"
"#81806-815","19:00"
"#00698-658","20:00"
"#91389-170","20:16"
"#42167-701","10:22"
"#34340-239","10:40"
"#82595-830","12:00"
"#62339-649","15:30"
"#80132-267","15:48"
"#85158-719","17:17"
"#43027-235","18:00"
"#61064-969","20:27"
"#49782-161","10:30"
"#65369-665","14:17"
"#97267-349","16:13"
"#64060-366","18:19"
"#54374-699","18:30"
"#52979-907","19:23"
"#16538-526","20:00"
"#04602-011","12:10"
"#20800-249","14:15"
"#18496-718","14:30"
"#59839-532","16:25"
"#59445-825","16:50"
"#34094-026","17:17"
"#40859-862","17:17"
"#86947-544","18:40"
